구분,날짜,날짜 근거,장르,제목,지은이,글자 수,원문 링크,본문 파일
시계열,1646-01-01,발표 연도,시조,어와어엿블샤,김계,52,https://ko.wikisource.org/wiki/%EC%96%B4%EC%99%80_%EC%96%B4%EC%97%BF%EB%B8%94%EC%83%A4,본문/시조/김계 - 어와어엿블샤 (1646-01-01).txt
시계열,1646-01-01,발표 연도,시조,이바이사ᄅᆞᆷᄃᆞᆯ아,김계,53,https://ko.wikisource.org/wiki/%EC%9D%B4%EB%B0%94_%EC%9D%B4%EC%82%AC%EB%9E%8C%EB%93%A4%EC%95%84,본문/시조/김계 - 이바이사ᄅᆞᆷᄃᆞᆯ아 (1646-01-01).txt
시계열,1647-01-01,발표 연도,시조,少年적노던ᄯᅡᄒᆞᆯ,김계,53,https://ko.wikisource.org/wiki/%EC%86%8C%EB%85%84%EC%A0%81_%EB%85%B8%EB%8D%98%EB%94%B0%ED%9D%98,본문/시조/김계 - 少年적노던ᄯᅡᄒᆞᆯ (1647-01-01).txt
시계열,1647-01-01,발표 연도,시조,어와可笑로다,김계,55,https://ko.wikisource.org/wiki/%EC%96%B4%EC%99%80_%EA%B0%80%EC%86%8C%EB%A1%9C%EB%8B%A4,본문/시조/김계 - 어와可笑로다 (1647-01-01).txt
시계열,1648-01-01,발표 연도,시조,兄主자시던졀을,김계,47,https://ko.wikisource.org/wiki/%ED%98%95%EC%A3%BC_%EC%9E%90%EC%8B%9C%EB%8D%98_%EC%A1%80%EC%9D%84,본문/시조/김계 - 兄主자시던졀을 (1648-01-01).txt
시계열,1648-01-01,발표 연도,시조,壽則多辱이라ᄒᆞᆯᄉᆡ,김계,47,https://ko.wikisource.org/wiki/%EC%88%98%EC%A6%89%EB%8B%A4%EC%9A%95%EC%9D%B4%EB%9D%BC_%ED%95%A0%EC%83%88,본문/시조/김계 - 壽則多辱이라ᄒᆞᆯᄉᆡ (1648-01-01).txt
시계열,1648-01-01,발표 연도,시조,父母ᄂᆞᆫ쥭자시미셔,김계,54,https://ko.wikisource.org/wiki/%EB%B6%80%EB%AA%A8%EB%8A%94_%EC%A5%AD%EC%9E%90%EC%8B%9C%EB%A9%B0%EC%85%94,본문/시조/김계 - 父母ᄂᆞᆫ쥭자시미셔 (1648-01-01).txt
시계열,1649-01-01,발표 연도,시조,ᄅᆞᆯ고病이든이,김계,55,https://ko.wikisource.org/wiki/%EB%9E%84%EA%B3%A0_%EB%B3%91%EC%9D%B4%EB%93%A0%EC%9D%B4,본문/시조/김계 - ᄅᆞᆯ고病이든이 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,少年적ᄃᆞᆫ기던ᄯᅡᄒᆞᆯ,김계,56,https://ko.wikisource.org/wiki/%EC%86%8C%EB%85%84%EC%A0%81_%EB%8B%A8%EA%B8%B0%EB%8D%98_%EB%94%B0%ED%9D%98,본문/시조/김계 - 少年적ᄃᆞᆫ기던ᄯᅡᄒᆞᆯ (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,謝賜竹杖孫僉知,김계,55,https://ko.wikisource.org/wiki/%EC%82%AC%EC%82%AC%EC%A3%BD%EC%9E%A5_%EC%86%90%EC%B2%A8%EC%A7%80,본문/시조/김계 - 謝賜竹杖孫僉知 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,게만그리울가,김계,63,https://ko.wikisource.org/wiki/%EA%B2%8C%EB%A7%8C_%EA%B7%B8%EB%A6%AC%EC%9A%B8%EA%B0%80,본문/시조/김계 - 게만그리울가 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,나도그리거니,김계,58,https://ko.wikisource.org/wiki/%EB%82%98%EB%8F%84_%EA%B7%B8%EB%A6%AC%EA%B1%B0%EB%8B%88,본문/시조/김계 - 나도그리거니 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,내나ᄒᆞᆯ쳐여보니,김계,53,https://ko.wikisource.org/wiki/%EB%82%B4%EB%82%98%ED%9D%98_%EC%B3%90%EC%97%AC%EB%B3%B4%EB%8B%88,본문/시조/김계 - 내나ᄒᆞᆯ쳐여보니 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,너희ᄂᆞᆯᄃᆞ리고,김계,58,https://ko.wikisource.org/wiki/%EB%84%88%ED%9D%AC%EB%82%A0_%EB%8B%A4%EB%A6%AC%EA%B3%A0,본문/시조/김계 - 너희ᄂᆞᆯᄃᆞ리고 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,네나흔마ᄋᆞᆫᄒᆞᆫ나,김계,60,https://ko.wikisource.org/wiki/%EB%84%A4%EB%82%98%ED%9D%94_%EB%A7%88%EC%9D%80%ED%95%9C%EB%82%98,본문/시조/김계 - 네나흔마ᄋᆞᆫᄒᆞᆫ나 (1649-01-01).txt
시계열,1649-01-01,발표 연도,시조,늘그니赤足로서,김계,46,https://ko.wikisource.org/wiki/%EB%8A%98%EA%B7%B8%EB%8B%88_%EC%A0%81%EC%A1%B1%EB%A1%9C%EC%84%9C,본문/시조/김계 - 늘그니赤足로서 (1649-01-01).txt
시계열,1650-01-01,발표 연도,시조,내나히닐흔여슷,김계,54,https://ko.wikisource.org/wiki/%EB%82%B4_%EB%82%98%ED%9E%88_%EB%8B%90%ED%9D%94%EC%97%AC%EC%8A%B7,본문/시조/김계 - 내나히닐흔여슷 (1650-01-01).txt
시계열,1651-01-01,발표 연도,시조,어부사시사,윤선도,3334,https://ko.wikisource.org/wiki/%EC%96%B4%EB%B6%80%EC%82%AC%EC%8B%9C%EC%82%AC,본문/시조/윤선도 - 어부사시사 (1651-01-01).txt
시계열,1652-01-01,발표 연도,시조,몽천요,윤선도,197,https://ko.wikisource.org/wiki/%EB%AA%BD%EC%B2%9C%EC%9A%94,본문/시조/윤선도 - 몽천요 (1652-01-01).txt
시계열,1652-01-01,발표 연도,시조,오ᄂᆞᆯ이무슴날고,김계,61,https://ko.wikisource.org/wiki/%EC%98%A4%EB%8A%98%EC%9D%B4_%EB%AC%B4%EC%8A%B4%EB%82%A0%EA%B3%A0,본문/시조/김계 - 오ᄂᆞᆯ이무슴날고 (1652-01-01).txt
시계열,1653-01-01,발표 연도,시조,重陽ᄇᆞᆯᄀᆞᆫᄃᆞᆯ애,김계,57,https://ko.wikisource.org/wiki/%EC%A4%91%EC%96%91_%EB%B0%9C%EA%B0%84_%EB%8B%AC%EC%95%A0,본문/시조/김계 - 重陽ᄇᆞᆯᄀᆞᆫᄃᆞᆯ애 (1653-01-01).txt
시계열,1653-01-01,발표 연도,시조,알래해어름이ᄀᆞᄃᆞᆨ,김계,50,https://ko.wikisource.org/wiki/%EC%95%8C%EB%9E%98%ED%95%B4_%EC%96%B4%EB%A6%84%EC%9D%B4_%EA%B0%80%EB%93%9D,본문/시조/김계 - 알래해어름이ᄀᆞᄃᆞᆨ (1653-01-01).txt
시계열,1654-01-01,발표 연도,시조,父母主이늣거아,김현,77,https://ko.wikisource.org/wiki/%EB%B6%80%EB%AA%A8%EC%A3%BC%EC%9D%B4_%EB%8A%A3%EA%B1%B0%EC%95%84,본문/시조/김현 - 父母主이늣거아 (1654-01-01).txt
시계열,1654-01-01,발표 연도,시조,오ᄂᆞᄅᆞᆯ혜여보니,김계,63,https://ko.wikisource.org/wiki/%EC%98%A4%EB%82%98%EB%A5%BC_%ED%98%9C%EC%97%AC%EB%B3%B4%EB%8B%88,본문/시조/김계 - 오ᄂᆞᄅᆞᆯ혜여보니 (1654-01-01).txt
시계열,1687-01-01,발표 연도,장편소설,구운몽,김만중,64523,https://ko.wikisource.org/wiki/%EA%B5%AC%EC%9A%B4%EB%AA%BD,본문/장편소설/김만중 - 구운몽 (1687-01-01).txt
시계열,1720-01-01,발표 연도,가사,瑪川別曲,이섭,1125,https://ko.wikisource.org/wiki/%EB%A7%88%EC%B2%9C%EB%B3%84%EA%B3%A1,본문/가사/이섭 - 瑪川別曲 (1720-01-01).txt
시계열,1728-01-01,발표 연도,시조,청구영언,김천택,326,https://ko.wikisource.org/wiki/%EC%B2%AD%EA%B5%AC%EC%98%81%EC%96%B8,본문/시조/김천택 - 청구영언 (1728-01-01).txt
시계열,1754-01-01,발표 연도,소설,가사춘향가이백구,유진한,2800,https://ko.wikisource.org/wiki/%EA%B0%80%EC%82%AC%EC%B6%98%ED%96%A5%EA%B0%80%EC%9D%B4%EB%B0%B1%EA%B5%AC,본문/소설/유진한 - 가사춘향가이백구 (1754-01-01).txt
시계열,1769-01-01,발표 연도,서간,제6권 서사,박지원,6566,https://ko.wikisource.org/wiki/%EC%97%B0%EC%95%94%EC%A7%91/%EC%A0%9C6%EA%B6%8C_%EB%B3%84%EC%A7%91,본문/서간/박지원 - 제6권 서사 (1769-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,경개록,박지원,2181,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EA%B2%BD%EA%B0%9C%EB%A1%9D,본문/수필/박지원 - 경개록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,관내정사,박지원,17636,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EA%B4%80%EB%82%B4%EC%A0%95%EC%82%AC,본문/수필/박지원 - 관내정사 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,구외이문,박지원,11347,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EA%B5%AC%EC%99%B8%EC%9D%B4%EB%AC%B8,본문/수필/박지원 - 구외이문 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,금료소초,박지원,2563,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EA%B8%88%EB%A3%8C%EC%86%8C%EC%B4%88,본문/수필/박지원 - 금료소초 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,도강록,박지원,24782,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EB%8F%84%EA%B0%95%EB%A1%9D,본문/수필/박지원 - 도강록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,동란섭필,박지원,15790,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EB%8F%99%EB%9E%80%EC%84%AD%ED%95%84,본문/수필/박지원 - 동란섭필 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,막북행정록,박지원,9413,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EB%A7%89%EB%B6%81%ED%96%89%EC%A0%95%EB%A1%9D,본문/수필/박지원 - 막북행정록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,망양록,박지원,15461,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EB%A7%9D%EC%96%91%EB%A1%9D,본문/수필/박지원 - 망양록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,반선시말,박지원,3135,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EB%B0%98%EC%84%A0%EC%8B%9C%EB%A7%90,본문/수필/박지원 - 반선시말 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,산장잡기,박지원,5325,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%82%B0%EC%9E%A5%EC%9E%A1%EA%B8%B0,본문/수필/박지원 - 산장잡기 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,성경잡지,박지원,16195,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%84%B1%EA%B2%BD%EC%9E%A1%EC%A7%80,본문/수필/박지원 - 성경잡지 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,심세편,박지원,2063,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%8B%AC%EC%84%B8%ED%8E%B8,본문/수필/박지원 - 심세편 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,알성퇴술,박지원,4023,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%95%8C%EC%84%B1%ED%87%B4%EC%88%A0,본문/수필/박지원 - 알성퇴술 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,앙엽기,박지원,4442,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%95%99%EC%97%BD%EA%B8%B0,본문/수필/박지원 - 앙엽기 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,열하일기서,박지원,689,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0%EC%84%9C,본문/수필/박지원 - 열하일기서 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,옥갑야화,박지원,5320,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%98%A5%EA%B0%91%EC%95%BC%ED%99%94,본문/수필/박지원 - 옥갑야화 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,일신수필,박지원,16484,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%9D%BC%EC%8B%A0%EC%88%98%ED%95%84,본문/수필/박지원 - 일신수필 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,찰십륜포,박지원,1981,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%EC%B0%B0%EC%8B%AD%EB%A5%9C%ED%8F%AC,본문/수필/박지원 - 찰십륜포 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,태학유관록,박지원,14604,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%83%9C%ED%95%99%EC%9C%A0%EA%B4%80%EB%A1%9D,본문/수필/박지원 - 태학유관록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,피서록,박지원,14681,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%94%BC%EC%84%9C%EB%A1%9D,본문/수필/박지원 - 피서록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,행재잡록,박지원,3807,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%96%89%EC%9E%AC%EC%9E%A1%EB%A1%9D,본문/수필/박지원 - 행재잡록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,혹정필담,박지원,15815,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%98%B9%EC%A0%95%ED%95%84%EB%8B%B4,본문/수필/박지원 - 혹정필담 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,환연도중록,박지원,7949,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%99%98%EC%97%B0%EB%8F%84%EC%A4%91%EB%A1%9D,본문/수필/박지원 - 환연도중록 (1780-01-01).txt
시계열,1780-01-01,수록 문집 간행 연도,수필,환희기,박지원,4271,https://ko.wikisource.org/wiki/%EC%97%B4%ED%95%98%EC%9D%BC%EA%B8%B0/%ED%99%98%ED%9D%AC%EA%B8%B0,본문/수필/박지원 - 환희기 (1780-01-01).txt
